University,,,,Library Strategic Plan
University of Mississippi,Public,Oxford,MS,https://libraries.olemiss.edu/wp-content/uploads/2017/11/library-strategic-plan-complete.pdf
Mississippi State University,Public,Starkville,MS,https://www.library.msstate.edu/about/strategic-plan
University of Missouri,Public,Columbia,MO,https://library.missouri.edu/about/mission/
Montana State University,Public,Bozeman,MT,https://www.lib.montana.edu/about/strategic-plan/MSU_Library_Strategic_Plan_Report.pdf
University of Nebraska–Lincoln,Public,Lincoln,NE,https://libraries.unl.edu/docs/strategic-plan/strategic-plan-UNLLibraries2020-2022.pdf
"University of Nevada, Las Vegas",Public,Las Vegas,NV,https://www.library.unlv.edu/sites/default/files/inline-images/unlv_university_libraries_strategic_plan_2019-2021.pdf
"University of Nevada, Reno",Public,Reno,NV,https://library.unr.edu/libraries/pdfs/verified-accessible/strategic-plan.pdf
University of New Hampshire,Public,Durham,NH,https://library.unh.edu/sites/default/files/media/2020-08/unhlib-stratplan-2020.pdf
New Jersey Institute of Technology,Public,Newark,NJ,
University of New Mexico,Public,Albuquerque,NM,https://ulls.unm.edu/about/strategic-plan.php
New York University,Private (non-profit),New York,NY,https://s3.amazonaws.com/nyulibraries-www-assets/strategic-plan-long.pdf
North Carolina State University,Public,Raleigh,NC,https://www.lib.ncsu.edu/sites/default/files/Libraries-Strategic-Priorities-2020.pdf
University of North Carolina at Chapel Hill,Public,Chapel Hill,NC,https://library.unc.edu/wp-content/uploads/2019/11/Framework-2019.pdf
University of North Texas,Public,Denton,TX,https://library.unt.edu/administrative-office/strategic-directions/
Northeastern University,Private (non-profit),Boston,MA,https://library.northeastern.edu/sites/default/files/public/atttachments/FIELD_PAGE_FILES/2016/library_strategic_directions_2016-2020_final.pdf
Northwestern University,Private (non-profit),Evanston,IL,https://www.library.northwestern.edu/documents/about/nul-nup---strategic-plan-2019-21---bridging-to-2022_.pdf
University of Notre Dame,Private (non-profit),Notre Dame,IN,https://strategicplan.nd.edu/unit-plans/hesburgh-libraries-plan/
Ohio State University[4],Public,Columbus,OH,https://library.osu.edu/sites/default/files/2018-01/osl-001_strategic_directions_slides_pro.pdf
University of Oklahoma,Public,Norman,OK,https://libraries.ou.edu/content/strategic-map-2019-0
Oklahoma State University,Public,Stillwater,OK,
University of Oregon,Public,Eugene,OR,https://library.uoregon.edu/strategy-map-2017-2020
Oregon State University,Public,Corvallis,OR,https://library.oregonstate.edu/sites/default/files/osulp_strategic_plan_2018-2023_0.pdf
University of Pennsylvania,Private (non-profit),Philadelphia,PA,https://www.library.upenn.edu/blogs/libraries-news/penn-libraries-releases-strategic-plan-2020-2025
Pennsylvania State University,Public,University Park,PA,https://libraries.psu.edu/sites/default/files/2014-UL-Strategic-Plan.pdf
University of Pittsburgh,Public,Pittsburgh,PA,https://www.library.pitt.edu/sites/default/files/pdf/uls/Update%20on%20Strategic%20Plan%20Academic%20Year%202020.pdf
Princeton University,Private (non-profit),Princeton,NJ,"https://library.princeton.edu/about#:~:text=1%2DWe%20will%20be%20strategically,component%20of%20the%20library%20experience.&text=5%2DWe%20will%20leverage%20library,reveal%2C%20and%20combat%20systemic%20racism."
Purdue University,Public,West Lafayette,IN,https://www.lib.purdue.edu/sites/default/files/libraries/Purdue%20Libraries%20Strategic%20Plan%202016-2019%20Revised%2008%2015%2016.pdf
Rensselaer Polytechnic Institute,Private (non-profit),Troy,NY,
Rice University,Private (non-profit),Houston,TX,https://library.rice.edu/content/strategic-planning-document
University of Rochester,Private (non-profit),Rochester,NY,https://www.library.rochester.edu/sites/default/files/documents/strategic_priorities_2018-2025.pdf
Rutgers University–New Brunswick,Public,New Brunswick,NJ,https://www.libraries.rutgers.edu/priorities-fy2019-2021
University of South Carolina,Public,Columbia,SC,https://sc.edu/about/offices_and_divisions/university_libraries/about/mission/index.php
University of South Florida,Public,Tampa,FL,https://lib.usf.edu/library-administration/strategic-directions/
University of Southern California,Private (non-profit),Los Angeles,CA,
University of Southern Mississippi,Public,Hattiesburg,MS,https://libraries.usc.edu/sites/default/files/usc_libraries_strategic_plan_june_2017.pdf
Stanford University,Private (non-profit),Stanford,CA,
Stony Brook University,Public,Stony Brook,NY,https://library.stonybrook.edu/strategic-plan-2015-2018/
Syracuse University,Private (non-profit),Syracuse,NY,https://library.syr.edu/about/documents/sul-strategic-plan-2018-2022.pdf
Temple University,Public,Philadelphia,PA,https://library.temple.edu/webpages/strategic-actions
University of Tennessee,Public,Knoxville,TN,https://www.lib.utk.edu/wp-content/uploads/sites/31/files/Strategic-Plan-UT-LIbraries-Dec-2016.pdf
University of Texas at Arlington,Public,Arlington,TX,https://libraries.uta.edu/about/libraries/strategic-plan
University of Texas at Austin,Public,Austin,TX,https://utexas.app.box.com/v/future-of-ut-libraries-report
University of Texas at Dallas,Public,Richardson,TX,https://library.utdallas.edu/files/strategicplan.pdf
University of Texas at El Paso,Public,El Paso,TX,
Texas A&M University,Public,College Station,TX,
Texas Tech University,Public,Lubbock,TX,https://guides.library.ttu.edu/ld.php?content_id=56174908
Tufts University,Private (non-profit),Medford,MA,https://tischlibrary.tufts.edu/sites/default/files/Tisch_Library_Strategic_Plan_and_Values_2019_0.pdf
Tulane University,Private (non-profit),New Orleans,LA,https://library.tulane.edu/about/strategic-pillars
University of Utah,Public,Salt Lake City,UT,https://lib.utah.edu/info/strategic-directions.php
Vanderbilt University,Private (non-profit),Nashville,TN,https://www.library.vanderbilt.edu/future/fotl-april2015.pdf
University of Virginia,Public,Charlottesville,VA,https://www.library.virginia.edu/about-uva-library/strategic-plan/
Virginia Commonwealth University,Public,Richmond,VA,https://www.library.vcu.edu/media/vculibrary/documents/strategic-framework/strategicframework2020_.pdf
Virginia Polytechnic Institute and State University,Public,Blacksburg,VA,https://lib.vt.edu/content/dam/lib_vt_edu/about/strategicplan/UL%20Strategic%20Plan%202020%20v2-2.pdf
University of Washington,Public,Seattle,WA,https://www.lib.washington.edu/about/strategicplan/pdf
Washington University in St. Louis,Private (non-profit),Saint Louis,MO,https://wustl.app.box.com/s/wx1tf1iqbmq8hg89e657qninrp14tefb
Washington State University,Public,Pullman,WA,https://libraries.wsu.edu/wp-content/uploads/files/WSULibrariesPullmanStrategicPlan2014.pdf
Wayne State University,Public,Detroit,MI,https://library.wayne.edu/info/about/strategic.php
University of Wisconsin–Madison,Public,Madison,WI,https://cms.library.wisc.edu/www/wp-content/uploads/sites/2/2020/11/StratPlanningReport-final.pdf
University of Wisconsin–Milwaukee,Public,Milwaukee,WI,https://guides.library.uwm.edu/strategicplan_2017-2020
West Virginia University,Public,Morgantown,WV,https://library.wvu.edu/files/d/f265667f-7851-4654-9263-f8e3b3d4a789/330211-wvu-wise-library_annual-reports0323.pdf
Yale University,Private (non-profit),New Haven,CT,https://guides.library.yale.edu/about/strategic-directions
UC Systemwide,,,,https://libraries.universityofcalifornia.edu/groups/files/coul/docs/FY20-21_AnnualPlansAndPriorities_Final.pdf
